ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
E14001068,E12000004,Ashfield,,East Midlands,England,County,,Lee,Anderson,Male,RUK gain from Con,RUK,Lab,68929,39882,102,5508,3271,11554,619,17062,1100,0,0,0,0,0,0,0,6276,0
E14001069,E12000008,Ashford,,South East,England,County,,Sojan,Joseph,Male,Lab gain from Con,Lab,Con,76233,46975,164,1779,13483,15262,2445,10141,4355,0,0,0,0,0,0,0,1289,0
E14001070,E12000002,Ashton-under-Lyne,,North West,England,Borough,,Angela,Rayner,Female,Lab hold,Lab,RUK,71002,35461,136,6791,4375,15575,1411,8784,2481,0,0,0,0,0,0,0,2835,0
E14001071,E12000008,Aylesbury,,South East,England,County,,Laura,Kyrke-Smith,Female,Lab gain from Con,Lab,Con,79169,49940,213,630,14451,15081,10440,6746,2590,0,0,0,0,0,0,0,632,0
S14000107,S92000003,"Ayr, Carrick and Cumnock",,Scotland,Scotland,County,,Elaine,Stewart,Female,Lab gain from SNP,Lab,SNP,70340,40936,120,4154,9247,14930,1081,3544,886,10776,0,0,0,0,0,0,472,0
E14001072,E12000008,Banbury,,South East,England,County,,Sean,Woodcock,Male,Lab gain from Con,Lab,Con,73250,48178,187,3256,15212,18468,4352,6284,2615,0,0,0,0,0,0,0,1247,0
W07000083,W92000004,Bangor Aberconwy,,Wales,Wales,County,,Claire,Hughes,Female,Lab gain from Con,Lab,PC,70527,41660,154,4896,9036,14008,1524,6091,1361,0,9112,0,0,0,0,0,528,0
E14001073,E12000007,Barking,,London,England,Borough,,Nesil,Caliskan,Female,Lab hold,Lab,RUK,79822,36477,120,11054,4294,16227,1015,5173,4988,0,0,0,0,0,0,0,4780,0
E14001074,E12000003,Barnsley North,,Yorkshire and The Humber,England,County,,Dan,Jarvis,Male,Lab hold,Lab,RUK,78274,36894,114,7811,3083,18610,1336,10799,1805,0,0,0,0,0,0,0,1261,0
E14001075,E12000003,Barnsley South,,Yorkshire and The Humber,England,County,,Stephanie,Peacock,Female,Lab hold,Lab,RUK,75853,35082,78,4748,3247,16399,1172,11651,1521,0,0,0,0,0,0,0,1092,0
E14001076,E12000002,Barrow and Furness,,North West,England,County,,Michelle,Scrogham,Female,Lab gain from Con,Lab,Con,74980,42221,141,5324,13213,18537,1680,7035,1466,0,0,0,0,0,0,0,290,0
E14001077,E12000006,Basildon and Billericay,,East of England,England,Borough,,Richard,Holden,Male,Con hold,Con,Lab,76873,42124,176,20,12905,12885,2292,11354,2123,0,0,0,0,0,0,0,565,0
E14001078,E12000008,Basingstoke,,South East,England,Borough,,Luke,Murphy,Male,Lab gain from Con,Lab,Con,78487,48989,189,6484,14438,20922,3176,6314,3568,0,0,0,0,0,0,0,571,0
E14001079,E12000004,Bassetlaw,,East Midlands,England,County,,Jo,White,Female,Lab gain from Con,Lab,Con,78161,44878,150,5768,12708,18476,1996,9751,1947,0,0,0,0,0,0,0,0,0
E14001080,E12000009,Bath,,South West,England,County,,Wera,Hobhouse,Female,LD hold,LD,Lab,69662,48130,192,11218,7659,8665,19883,3798,5952,0,0,0,0,0,0,0,2173,0
S14000068,S92000003,Bathgate and Linlithgow,,Scotland,Scotland,County,,Kirsteen,Sullivan,Female,Lab gain from SNP,Lab,SNP,72185,42065,92,8323,3144,19774,2171,3524,1390,11451,0,0,0,0,0,0,611,0
E14001081,E12000007,Battersea,,London,England,Borough,,Marsha,De Cordova,Female,Lab hold,Lab,Con,72827,47082,237,12039,10944,22983,4826,2825,4239,0,0,0,0,0,0,0,1265,0
E14001082,E12000008,Beaconsfield,,South East,England,County,,Joy,Morrissey,Female,Con hold,Con,LD,72751,47726,162,5455,18494,7216,13039,6055,1977,0,0,0,0,0,0,0,945,0
E14001083,E12000007,Beckenham and Penge,,London,England,Borough,,Liam,Conlon,Male,Lab hold,Lab,Con,77198,52222,218,12905,12848,25753,4436,5355,3830,0,0,0,0,0,0,0,0,0
E14001084,E12000006,Bedford,,East of England,England,Borough,,Mohammad,Yasin,Male,Lab hold,Lab,Con,72478,40659,210,9430,8912,18342,4025,4548,2394,0,0,0,0,0,0,0,2438,0
N05000001,N92000002,Belfast East,,Northern Ireland,Northern Ireland,Borough,,Gavin,Robinson,Male,DUP hold,DUP,APNI,72917,42706,184,2676,0,0,0,0,1077,0,0,19894,0,619,1818,17218,2080,0
N05000002,N92000002,Belfast North,,Northern Ireland,Northern Ireland,Borough,,John,Finucane,Male,SF hold,SF,DUP,74240,40452,293,5612,0,0,0,0,1206,0,0,12062,17674,1413,0,4274,3823,0
N05000003,N92000002,Belfast South and Mid Down,,Northern Ireland,Northern Ireland,Borough,,Claire,Hanna,Female,SDLP hold,SDLP,APNI,74749,43491,266,12506,0,0,0,0,1577,0,0,6859,0,21345,2653,8839,2218,0
N05000004,N92000002,Belfast West,,Northern Ireland,Northern Ireland,Borough,,Paul,Maskey,Male,SF hold,SF,PBPA,75346,39743,256,15961,0,0,0,0,451,0,0,4304,21009,4318,461,1077,8123,0
E14001085,E12000007,Bermondsey and Old Southwark,,London,England,Borough,,Neil,Coyle,Male,Lab hold,Lab,LD,69482,37603,180,7787,2879,16857,9070,3397,4477,0,0,0,0,0,0,0,923,0
S14000108,S92000003,"Berwickshire, Roxburgh and Selkirk",,Scotland,Scotland,County,,John,Lamont,Male,Con hold,Con,SNP,76438,46558,138,6599,18872,6311,3686,3340,1526,12273,0,0,0,0,0,0,550,0
E14001086,E12000007,Bethnal Green and Stepney,,London,England,Borough,,Rushanara,Ali,Female,Lab hold,Lab,Ind,81439,46647,320,1689,1920,15896,4777,1964,6391,0,0,0,0,0,0,0,15699,0
E14001087,E12000003,Beverley and Holderness,,Yorkshire and The Humber,England,County,,Graham,Stuart,Male,Con hold,Con,Lab,71994,44897,144,124,15501,15377,3386,8198,1647,0,0,0,0,0,0,0,788,0
E14001088,E12000008,Bexhill and Battle,,South East,England,County,,Kieran,Mullan,Male,Con hold,Con,Lab,72198,47750,188,2657,16186,13529,3473,7929,2972,0,0,0,0,0,0,0,3661,0
E14001089,E12000007,Bexleyheath and Crayford,,London,England,Borough,,Daniel,Francis,Male,Lab gain from Con,Lab,Con,70297,43461,118,2114,13603,15717,2204,9861,2076,0,0,0,0,0,0,0,0,0
E14001090,E12000008,Bicester and Woodstock,,South East,England,County,,Calum,Miller,Male,LD gain from Con,LD,Con,74353,50219,167,4958,14461,8236,19419,5408,2404,0,0,0,0,0,0,0,291,0
E14001091,E12000002,Birkenhead,,North West,England,Borough,,Alison,McGovern,Female,Lab hold,Lab,Green,78091,43134,142,13798,3238,22468,2292,6142,8670,0,0,0,0,0,0,0,324,0
E14001092,E12000005,Birmingham Edgbaston,,West Midlands,England,Borough,,Preet,Gill,Female,Lab hold,Lab,Con,71787,37428,179,8368,8231,16599,2102,4363,2797,0,0,0,0,0,0,0,3336,0
E14001093,E12000005,Birmingham Erdington,,West Midlands,England,Borough,,Paulette,Hamilton,Female,Lab hold,Lab,RUK,77463,34137,152,7019,5402,14774,1128,7755,2452,0,0,0,0,0,0,0,2626,0
E14001094,E12000005,Birmingham Hall Green and Moseley,,West Midlands,England,Borough,,Tahir,Ali,Male,Lab hold,Lab,Ind,76936,41606,256,5656,3845,12798,4711,2305,3913,0,0,0,0,0,0,0,14034,0
E14001095,E12000005,Birmingham Hodge Hill and Solihull North,,West Midlands,England,Borough,,Liam,Byrne,Male,Lab hold,Lab,WPB,77737,34136,127,1566,4634,10655,942,6456,2360,0,0,0,0,0,0,0,9089,0
E14001096,E12000005,Birmingham Ladywood,,West Midlands,England,Borough,,Shabana,Mahmood,Female,Lab hold,Lab,Ind,83693,36579,203,3421,2218,15558,1711,1477,3478,0,0,0,0,0,0,0,12137,0
E14001097,E12000005,Birmingham Northfield,,West Midlands,England,Borough,,Laurence,Turner,Male,Lab gain from Con,Lab,Con,74048,37652,138,5389,9540,14929,1791,7895,2809,0,0,0,0,0,0,0,688,0
E14001098,E12000005,Birmingham Perry Barr,,West Midlands,England,Borough,,Ayoub,Khan,Male,Ind gain from Lab,Ind,Lab,76350,37476,211,507,4227,12796,1302,2446,2440,0,0,0,0,0,0,0,14265,13303
E14001099,E12000005,Birmingham Selly Oak,,West Midlands,England,Borough,,Al,Carns,Male,Lab hold,Lab,Con,75678,38423,144,11537,5834,17371,2324,5732,4320,0,0,0,0,0,0,0,2842,0
E14001100,E12000005,Birmingham Yardley,,West Midlands,England,Borough,,Jess,Phillips,Female,Lab hold,Lab,WPB,73203,36144,128,693,3634,11275,3634,5061,1958,0,0,0,0,0,0,0,10582,0
E14001101,E12000001,Bishop Auckland,,North East,England,County,,Sam,Rushworth,Male,Lab gain from Con,Lab,Con,70745,40427,133,6672,10364,17036,1373,9466,1857,0,0,0,0,0,0,0,331,0
E14001102,E12000002,Blackburn,,North West,England,Borough,,Adnan,Hussain,Male,Ind gain from Lab,Ind,Lab,73263,38887,163,132,3474,10386,689,4844,1416,0,0,0,0,0,0,0,18078,10518
E14001103,E12000002,Blackley and Middleton South,,North West,England,Borough,,Graham,Stringer,Male,Lab hold,Lab,RUK,72303,31340,149,10250,3073,16864,1592,6614,3197,0,0,0,0,0,0,0,0,0
E14001104,E12000002,Blackpool North and Fleetwood,,North West,England,Borough,,Lorraine,Beavers,Female,Lab gain from Con,Lab,Con,73339,41810,128,4647,12097,16744,1318,9913,1269,0,0,0,0,0,0,0,469,0
E14001105,E12000002,Blackpool South,,North West,England,Borough,,Chris,Webb,Male,Lab gain from Con,Lab,RUK,77460,35180,129,6848,5504,16916,1041,10068,1207,0,0,0,0,0,0,0,444,0
W07000084,W92000004,Blaenau Gwent and Rhymney,,Wales,Wales,County,,Nick,Smith,Male,Lab hold,Lab,PC,70153,29922,516,12183,3776,16027,1268,0,1719,0,3844,0,0,0,0,0,3288,0
E14001106,E12000001,Blaydon and Consett,,North East,England,County,,Liz,Twist,Female,Lab hold,Lab,RUK,70487,42216,120,11153,6052,21160,2273,10007,2589,0,0,0,0,0,0,0,135,0
E14001107,E12000001,Blyth and Ashington,,North East,England,County,,Ian,Lavery,Male,Lab hold,Lab,RUK,76595,40401,126,9173,6121,20030,1433,10857,1960,0,0,0,0,0,0,0,0,0
E14001108,E12000008,Bognor Regis and Littlehampton,,South East,England,Borough,,Alison,Griffiths,Female,Con hold,Con,Lab,76854,47827,186,1765,15678,13913,5081,10262,2185,0,0,0,0,0,0,0,708,0
E14001109,E12000004,Bolsover,,East Midlands,England,County,,Natalie,Fleet,Female,Lab gain from Con,Lab,Con,77207,42434,111,6323,10874,17197,1478,9131,3754,0,0,0,0,0,0,0,0,0
E14001110,E12000002,Bolton North East,,North West,England,Borough,,Kirith,Entwistle,Female,Lab gain from Con,Lab,Con,80011,43359,148,6653,9513,16166,1507,9428,4683,0,0,0,0,0,0,0,2062,0
E14001111,E12000002,Bolton South and Walkden,,North West,England,Borough,,Yasmin,Qureshi,Female,Lab hold,Lab,RUK,79622,36930,138,6743,4170,15093,1384,8350,2827,0,0,0,0,0,0,0,5106,0
E14001112,E12000002,Bolton West,,North West,England,County,,Phil,Brickell,Male,Lab gain from Con,Lab,Con,74933,44598,180,4945,12418,17363,1966,8517,4132,0,0,0,0,0,0,0,202,0
E14001113,E12000002,Bootle,,North West,England,Borough,,Peter,Dowd,Male,Lab hold,Lab,RUK,73037,38880,139,21983,1674,26729,1301,4746,3904,0,0,0,0,0,0,0,526,0
E14001114,E12000004,Boston and Skegness,,East Midlands,England,County,,Richard,Tice,Male,RUK gain from Con,RUK,Con,75811,40455,128,2010,13510,7629,1375,15520,1506,0,0,0,0,0,0,0,915,0
E14001115,E12000009,Bournemouth East,,South West,England,Borough,,Tom,Hayes,Male,Lab gain from Con,Lab,Con,72354,44910,143,5479,12837,18316,3082,6268,2790,0,0,0,0,0,0,0,1617,0
E14001116,E12000009,Bournemouth West,,South West,England,Borough,,Jessica,Toale,Female,Lab gain from Con,Lab,Con,70259,39418,137,3224,11141,14365,4311,6647,2614,0,0,0,0,0,0,0,340,0
E14001117,E12000008,Bracknell,,South East,England,Borough,,Peter,Swallow,Male,Lab gain from Con,Lab,Con,71660,43837,155,784,13999,14783,4768,7445,2166,0,0,0,0,0,0,0,676,0
E14001118,E12000003,Bradford East,,Yorkshire and The Humber,England,Borough,,Imran,Hussain,Male,Lab hold,Lab,Ind,75164,37216,148,6189,3450,14098,1910,4952,2571,0,0,0,0,0,0,0,10235,0
E14001119,E12000003,Bradford South,,Yorkshire and The Humber,England,Borough,,Judith,Cummins,Female,Lab hold,Lab,RUK,70999,33042,91,4392,4853,11833,954,7441,3366,0,0,0,0,0,0,0,4595,0
E14001120,E12000003,Bradford West,,Yorkshire and The Humber,England,Borough,,Naz,Shah,Female,Lab hold,Lab,Ind,77897,37081,219,707,3055,11724,756,2958,3690,0,0,0,0,0,0,0,14898,0
E14001121,E12000006,Braintree,,East of England,England,County,,James,Cleverly,Male,Con hold,Con,Lab,77673,49028,167,3670,17414,13744,2879,11346,2878,0,0,0,0,0,0,0,767,0
W07000085,W92000004,"Brecon, Radnor and Cwm Tawe",,Wales,Wales,County,,David,Chadwick,Male,LD gain from Con,LD,Con,73114,46548,120,1472,12264,9904,13736,6567,1188,0,2280,0,0,0,0,0,609,0
E14001122,E12000007,Brent East,,London,England,Borough,,Dawn,Butler,Female,Lab hold,Lab,Con,77547,37802,243,13047,6323,19370,2635,2024,3729,0,0,0,0,0,0,0,3721,0
E14001123,E12000007,Brent West,,London,England,Borough,,Barry,Gardiner,Male,Lab hold,Lab,Con,80027,41376,199,3793,13465,17258,3013,2061,2805,0,0,0,0,0,0,0,2774,0
E14001124,E12000007,Brentford and Isleworth,,London,England,Borough,,Ruth,Cadbury,Female,Lab hold,Lab,Con,79423,45254,219,9824,10183,20007,3863,3940,4029,0,0,0,0,0,0,0,3232,0
E14001125,E12000006,Brentwood and Ongar,,East of England,England,County,,Alex,Burghart,Male,Con hold,Con,RUK,75352,48332,169,5980,17731,11082,5809,11751,1770,0,0,0,0,0,0,0,189,0
W07000086,W92000004,Bridgend,,Wales,Wales,County,,Chris,Elmore,Male,Lab gain from Con,Lab,RUK,73168,41374,108,8595,6764,16516,1446,7921,1760,0,3629,0,0,0,0,0,3338,0
E14001126,E12000009,Bridgwater,,South West,England,County,,Ashley,Fox,Male,Con hold,Con,Lab,71571,40129,149,1349,12281,10932,5781,8913,1720,0,0,0,0,0,0,0,502,0
E14001127,E12000003,Bridlington and The Wolds,,Yorkshire and The Humber,England,County,,Charlie,Dewhirst,Male,Con hold,Con,Lab,74438,42937,140,3125,14846,11721,3097,10350,1595,0,0,0,0,0,0,0,1328,0
E14001128,E12000003,Brigg and Immingham,,Yorkshire and The Humber,England,County,,Martin,Vickers,Male,Con hold,Con,Lab,73099,42508,168,3243,15905,12662,1442,10594,1905,0,0,0,0,0,0,0,0,0
E14001129,E12000008,Brighton Kemptown and Peacehaven,,South East,England,Borough,,Chris,Ward,Male,Lab hold,Lab,Con,68784,40686,557,9663,8230,17893,3949,0,7997,0,0,0,0,0,0,0,2617,0
E14001130,E12000008,Brighton Pavilion,,South East,England,Borough,,Siân,Berry,Female,Green hold,Green,Lab,74786,52363,209,14290,3975,14519,1604,2836,28809,0,0,0,0,0,0,0,620,0
E14001131,E12000009,Bristol Central,,South West,England,Borough,,Carla,Denyer,Female,Green gain from Lab,Green,Lab,62735,43365,165,10407,1998,14132,1162,1338,24539,0,0,0,0,0,0,0,196,0
E14001132,E12000009,Bristol East,,South West,England,Borough,,Kerry,McCarthy,Female,Lab hold,Lab,Green,75917,46109,845,6606,6435,20748,2713,0,14142,0,0,0,0,0,0,0,2071,0
E14001133,E12000009,Bristol North East,,South West,England,Borough,,Damien,Egan,Male,Lab hold,Lab,Green,70076,41989,160,11167,6216,19004,1964,5418,7837,0,0,0,0,0,0,0,1550,0
E14001134,E12000009,Bristol North West,,South West,England,Borough,,Darren,Jones,Male,Lab hold,Lab,Green,74869,48464,264,15669,6773,24058,4159,4863,8389,0,0,0,0,0,0,0,222,0
E14001135,E12000009,Bristol South,,South West,England,Borough,,Karin,Smyth,Female,Lab hold,Lab,Green,75533,43403,179,7666,4947,18521,2721,6195,10855,0,0,0,0,0,0,0,164,0
E14001136,E12000006,Broadland and Fakenham,,East of England,England,County,,Jerome,Mayhew,Male,Con hold,Con,Lab,76863,49513,192,719,16322,15603,5526,8859,3203,0,0,0,0,0,0,0,0,0
E14001137,E12000007,Bromley and Biggin Hill,,London,England,Borough,,Peter,Fortune,Male,Con hold,Con,Lab,70713,46788,173,302,15929,15627,4352,8203,2583,0,0,0,0,0,0,0,94,0
E14001138,E12000005,Bromsgrove,,West Midlands,England,County,,Bradley,Thomas,Male,Con hold,Con,Lab,76468,50405,140,3016,16533,13517,7391,9584,1675,0,0,0,0,0,0,0,1705,0
E14001139,E12000006,Broxbourne,,East of England,England,County,,Lewis,Cocking,Male,Con hold,Con,Lab,75210,42952,142,2858,15810,12952,2688,8782,2461,0,0,0,0,0,0,0,259,0
E14001140,E12000004,Broxtowe,,East Midlands,England,County,,Juliet,Campbell,Female,Lab gain from Con,Lab,Con,70440,47838,165,8403,11158,19561,3807,8402,3488,0,0,0,0,0,0,0,1422,0
E14001141,E12000008,Buckingham and Bletchley,,South East,England,County,,Callum,Anderson,Male,Lab gain from Con,Lab,Con,74832,47641,206,2421,15181,17602,4300,7468,2590,0,0,0,0,0,0,0,500,0
E14001142,E12000002,Burnley,,North West,England,County,,Oliver,Ryan,Male,Lab gain from Con,Lab,LD,74954,39719,130,3420,8058,12598,9178,7755,1518,0,0,0,0,0,0,0,612,0
E14001143,E12000005,Burton and Uttoxeter,,West Midlands,England,County,,Jacob,Collier,Male,Lab gain from Con,Lab,Con,77994,45627,161,2266,13956,16222,1663,9611,2119,0,0,0,0,0,0,0,2056,0
E14001144,E12000002,Bury North,,North West,England,Borough,,James,Frith,Male,Lab gain from Con,Lab,Con,77686,45520,174,6944,12681,19625,1317,7385,1747,0,0,0,0,0,0,0,2765,0
E14001145,E12000002,Bury South,,North West,England,Borough,,Christian,Wakeford,Male,Lab gain from Con,Lab,Con,75326,42214,170,9361,9886,19247,1796,6865,2715,0,0,0,0,0,0,0,1705,0
E14001146,E12000006,Bury St Edmunds and Stowmarket,,East of England,England,County,,Peter,Prinsley,Male,Lab gain from Con,Lab,Con,78479,50893,193,1452,15293,16745,3154,8595,5761,0,0,0,0,0,0,0,1345,0
W07000087,W92000004,Caerfyrddin,,Wales,Wales,County,,Ann,Davies,Female,PC gain from Con,PC,Lab,74005,45604,187,4535,8825,10985,1461,6944,1371,0,15520,0,0,0,0,0,498,0
W07000088,W92000004,Caerphilly,,Wales,Wales,County,,Chris,Evans,Male,Lab hold,Lab,PC,72648,38234,156,6419,4385,14538,1788,7754,1650,0,8119,0,0,0,0,0,0,0
S14000069,S92000003,"Caithness, Sutherland and Easter Ross",,Scotland,Scotland,County,,Jamie,Stone,Male,LD gain from SNP,LD,SNP,74627,46048,122,10489,1860,3409,22736,3360,1641,12247,0,0,0,0,0,0,795,0
E14001147,E12000003,Calder Valley,,Yorkshire and The Humber,England,County,,Josh,Fenton-Glynn,Male,Lab gain from Con,Lab,Con,77364,49608,188,8991,13055,22046,2587,7644,3701,0,0,0,0,0,0,0,575,0
E14001148,E12000009,Camborne and Redruth,,South West,England,County,,Perran,Moon,Male,Lab gain from Con,Lab,Con,74342,47785,196,7806,11554,19360,4113,8952,2840,0,0,0,0,0,0,0,966,0
E14001149,E12000006,Cambridge,,East of England,England,Borough,,Daniel,Zeichner,Male,Lab hold,Lab,LD,70321,42100,372,11078,5073,19614,8536,0,6842,0,0,0,0,0,0,0,2035,0
E14001150,E12000005,Cannock Chase,,West Midlands,England,County,,Josh,Newbury,Male,Lab gain from Con,Lab,Con,76974,42953,119,3125,12546,15671,1029,11570,2137,0,0,0,0,0,0,0,0,0
E14001151,E12000008,Canterbury,,South East,England,County,,Rosie,Duffield,Female,Lab hold,Lab,Con,71155,47231,173,8653,10878,19531,3812,6805,5920,0,0,0,0,0,0,0,285,0
W07000089,W92000004,Cardiff East,,Wales,Wales,Borough,,Jo,Stevens,Female,Lab hold,Lab,LD,72876,39123,172,9097,3913,15833,6736,4980,3916,0,3550,0,0,0,0,0,195,0
W07000090,W92000004,Cardiff North,,Wales,Wales,Borough,,Anna,McMorrin,Female,Lab hold,Lab,Con,71460,47473,232,11207,9642,20849,3168,5985,3160,0,4669,0,0,0,0,0,0,0
W07000091,W92000004,Cardiff South and Penarth,,Wales,Wales,Borough,,Stephen,Doughty,Male,Lab hold,Lab,Green,73060,39176,221,11767,5459,17428,2908,4493,5661,0,3227,0,0,0,0,0,0,0
W07000092,W92000004,Cardiff West,,Wales,Wales,Borough,,Alex,Barros-Curtis,Male,Lab hold,Lab,PC,75697,44757,195,7019,6835,16442,1921,5626,3157,0,9423,0,0,0,0,0,1353,0
E14001152,E12000002,Carlisle,,North West,England,County,,Julie,Minns,Female,Lab gain from Con,Lab,Con,77863,45979,152,5200,12929,18129,2982,9295,1922,0,0,0,0,0,0,0,722,0
E14001153,E12000007,Carshalton and Wallington,,London,England,Borough,,Bobby,Dean,Male,LD gain from Con,LD,Con,74362,46670,117,7905,12221,6108,20126,5941,1517,0,0,0,0,0,0,0,757,0
E14001154,E12000006,Castle Point,,East of England,England,Borough,,Rebecca,Harris,Female,Con hold,Con,RUK,71026,40633,138,3251,15485,9455,1341,12234,2118,0,0,0,0,0,0,0,0,0
S14000109,S92000003,Central Ayrshire,,Scotland,Scotland,County,,Alan,Gemmell,Male,Lab gain from SNP,Lab,SNP,69413,41419,123,6869,6147,18091,983,3420,1039,11222,0,0,0,0,0,0,517,0
E14001155,E12000009,Central Devon,,South West,England,County,,Mel,Stride,Male,Con hold,Con,Lab,75385,53432,211,61,16831,16770,8232,7784,3338,0,0,0,0,0,0,0,477,0
E14001156,E12000006,Central Suffolk and North Ipswich,,East of England,England,County,,Patrick,Spencer,Male,Con hold,Con,Lab,73046,46423,215,4290,15144,10854,5407,8806,5652,0,0,0,0,0,0,0,560,0
W07000093,W92000004,Ceredigion Preseli,,Wales,Wales,County,,Ben,Lake,Male,PC hold,PC,LD,75690,46302,155,14789,4763,5386,6949,5374,1864,0,21738,0,0,0,0,0,228,0
E14001157,E12000008,Chatham and Aylesford,,South East,England,County,,Tristan,Osborne,Male,Lab gain from Con,Lab,Con,75109,40845,124,1998,11691,13689,2175,9989,2504,0,0,0,0,0,0,0,797,0
E14001158,E12000002,Cheadle,,North West,England,Borough,,Tom,Morrison,Male,LD gain from Con,LD,Con,74383,50731,110,12235,11446,7909,23681,5149,1630,0,0,0,0,0,0,0,916,0
E14001159,E12000006,Chelmsford,,East of England,England,Borough,,Marie,Goldman,Female,LD gain from Con,LD,Con,76970,50716,139,4753,15461,6108,20214,6754,1588,0,0,0,0,0,0,0,591,0
E14001160,E12000007,Chelsea and Fulham,,London,England,Borough,,Ben,Coleman,Male,Lab gain from Con,Lab,Con,78468,47116,184,152,18404,18556,3611,3144,2798,0,0,0,0,0,0,0,603,0
E14001161,E12000009,Cheltenham,,South West,England,Borough,,Max,Wilkinson,Male,LD gain from Con,LD,Con,76144,49542,986,7210,17866,2665,25076,0,3160,0,0,0,0,0,0,0,775,0
E14001162,E12000008,Chesham and Amersham,,South East,England,County,,Sarah,Green,Female,LD gain from Con,LD,Con,74889,54455,161,5451,18971,3502,24422,5310,1673,0,0,0,0,0,0,0,577,0
E14001163,E12000002,Chester North and Neston,,North West,England,County,,Samantha,Dixon,Female,Lab hold,Lab,Con,70215,44694,216,11870,10388,22258,2076,5870,4102,0,0,0,0,0,0,0,0,0
E14001164,E12000002,Chester South and Eddisbury,,North West,England,County,,Aphra,Brandreth,Female,Con hold,Con,Lab,74284,52486,155,3057,19905,16848,5430,6414,2278,0,0,0,0,0,0,0,1611,0
E14001165,E12000004,Chesterfield,,East Midlands,England,Borough,,Toby,Perkins,Male,Lab hold,Lab,Con,71645,41555,135,10820,8496,19316,2553,7897,2682,0,0,0,0,0,0,0,611,0
